ｺｰﾄﾞ,勘定科目名,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 12月,31年  1月,31年  1月累計
6229,諸会費,"31,500","110,400","150,500","107,148","114,100","94,500","49,500","35,500","210,500","51,500","40,500","44,500","347,000"
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,"-10,005",0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,"9,000","8,866",0,"17,866"
,販売費及び一般管理費計,"155,155,955","173,479,846","161,549,254","164,493,689","162,185,210","167,359,789","171,375,209","180,085,113","165,752,288","164,091,678","186,040,305","166,152,188","682,036,459"
,営業利益（損失）,"9,444,778","54,296,294","26,120,702","15,059,956","16,170,554","19,523,959","34,839,051","-4,920,646","3,337,063","15,790,903","70,018,563","43,364,618","132,511,147"
7111,受取利息,72,0,0,0,0,0,23,0,0,0,0,0,0
7112,為替差益,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,"338,421","229,368","405,044","226,441","244,618","241,569","253,211","235,353","239,801","1,615,744","521,683","646,201","3,023,429"
,営業外収益計,"338,493","229,368","405,044","226,441","244,618","241,569","253,234","235,353","239,801","1,615,744","521,683","646,201","3,023,429"
7511,支払利息,0,0,0,0,0,0,0,0,0,"122,065",0,0,"122,065"
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,0
7512,為替差損,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,"14,355",-651,-10,-90,-374,"-1,850","-1,209","1,661",-240,247,-400,"-12,786","-13,179"
7514,ＬＬＰ損失,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,"2,952,011","50,000","50,000",0,0,"100,000"
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,"14,355",-651,-10,-90,-374,"-1,850","-1,209","2,953,672","49,760","172,312",-400,"-12,786","208,886"
,経常利益（損失）,"9,768,916","54,526,313","26,525,756","15,286,487","16,415,546","19,767,378","35,093,494","-7,638,965","3,527,104","17,234,335","70,540,646","44,023,605","135,325,690"
