"ｺｰﾄﾞ","勘定科目名"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"
"6114","販売促進費","0","0","0","0","83,455","60,889","112,623","41,755","107,890","49,390","85,230","52,883"
"6115","荷造発送費","0","0","0","0","936","0","0","937","0","0","0","0"
"6116","外注費","0","0","0","0","264,092","176,984","185,350","231,000","55,250","258,600","162,850","98,872"
"6117","支払手数料","0","0","0","0","691,835","732,725","904,450","760,766","710,134","886,781","938,318","833,709"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","65,333","65,333","-35,250","65,333","65,333","65,333","65,333","65,333"
"6312","法定福利費","0","0","0","0","329,298","329,298","365,245","329,298","314,984","276,153","276,145","302,887"
"6226","厚生費","0","0","0","0","84,870","177,448","142,205","265,324","204,266","50,249","107,837","73,228"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","342,776","342,776","342,776","342,776","342,776","342,776","342,776","342,776"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","1,227,818","1,227,818","1,227,818","1,227,818","1,227,818","1,227,818","1,127,818","1,127,818"
"6216","修繕／車両関係費","0","0","0","0","945,500","143,000","280,214","783,600","909,300","217,000","145,014","11,000"
"6217","事務用消耗品費","0","0","0","0","0","0","0","2,504","0","0","0","0"
"6218","通信交通費","0","0","0","0","20,836","11,518","2,203","20,971","11,552","2,203","18,715","9,397"
"6219","水道光熱費","0","0","0","0","520,611","698,880","499,913","823,577","723,750","611,400","854,623","810,572"
"6221","租税公課","0","0","0","0","2,000","2,000","7,467","1,000","4,000","4,000","4,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","20,000","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","120,000","65,846","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","0","0","0","0","225,096","677,800","599,215","552,325","398,030","547,325","574,517","494,344"
"6227","管理諸費","0","0","0","0","235,446","205,491","233,400","193,872","235,582","196,127","237,945","195,327"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","9,638,538","9,604,059","10,371,337","10,598,200","9,592,301","9,701,194","9,403,593","8,764,200"
,"営業利益（損失）","0","0","0","0","-1,752,213","-129,653","1,203,114","-2,060,716","-1,455,113","3,076,136","-780,633","83,094"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","-1,752,213","-129,653","1,203,114","-2,060,716","-1,455,113","3,076,136","-780,633","83,094"
