コード,科目名,3年 4月,3年 5月,3年 6月,3年 7月,3年 8月,3年 9月,3年 10月,3年 11月,3年 12月,4年 1月,4年 2月,4年 3月,4年 4月,4年 5月,4年 6月,4年 7月,4年 8月,4年 9月,4年 10月,4年 11月,4年 12月,5年 1月,5年 2月,5年 3月,5年 4月,5年 5月,5年 6月,5年 7月,5年 8月,5年 9月,5年 10月,5年 11月,5年 12月,6年 1月,6年 2月,6年 3月,6年 4月,6年 5月,6年 6月,6年 7月,6年 8月
771,修繕費,235200,17000,0,0,0,0,0,0,0,0,0,334818,0,0,0,0,0,0,0,0,0,13030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97600,0,0,59500
772,清掃整備費,453114,575816,435176,497860,445556,507907,444426,711943,821960,1174992,1316117,693358,525531,500212,515725,519256,755680,545288,463331,455256,920126,493866,1282286,563636,629981,545201,535693,578256,787644,504976,622826,466556,565018,673236,599888,998638,602585,623696,1112649,929361,620396
773,租税公課,2100,107950,0,-18000,0,1050,0,1450,0,600,16400,2750,1200,141500,94900,0,29300,27800,900,450,2700,750,34252,16600,0,140200,11800,22500,29200,1050,74850,0,3500,5500,18100,306500,450,304000,600,-5600,0
774,外注費,2641273,2748717,2701817,2681222,2640275,2768018,2677740,2669387,2637450,2654641,2654796,2518182,6788940,6736700,7087760,6703210,6629920,6857972,6885020,6906670,6854970,6688130,6811250,6991390,2000000,2000000,2000000,2000000,2000000,2000000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000
775,広告宣伝費,0,0,0,0,0,0,14829,0,0,13129,0,0,0,0,0,12814,0,26020,1500000,0,0,0,0,0,18121,0,1568002,0,0,0,24998,0,0,0,0,0,113000,0,0,64298,0
776,接待交際費,18500,12103,3944,18441,98252,30685,0,2696,10000,111052,11827,11627,27545,3435,35455,0,72638,13700,5330,10000,18960,97605,1944,0,5000,6723,11755,14880,89041,12156,14900,5305,109350,91173,6304,4607,73043,0,0,120782,0
777,諸会費,200,37200,1200,3200,200,200,200,200,200,60200,18200,200,200,47200,200,2927,200,200,200,200,200,60200,6200,18200,200,53200,200,3200,200,200,200,200,200,70200,25473,200,200,53200,3200,200,9290
778,支払手数料,2762884,2535700,2915999,2625357,2561802,2613536,3337206,2529782,2486837,2653447,2742083,5168283,2788102,2481552,2877410,2528055,2591671,2508530,2623419,2560160,2652996,2875893,2706148,2766237,2773245,2787250,3232760,3202572,2811513,2745651,2853259,2799611,2750744,2840252,2787962,3741446,3586669,3336803,3071752,3436937,2903261
779,雑  費,1218,1664,853,1617,2473,1881,3709,1944,1618,36300,2804,2856,1635,2411,626,1599,3686,2491,3027,3543,1019,37892,2291,4592,1989,2308,1134,1253,1227,3081,618,1610,35609,946,1079,2168,1417,1789,1146,1527,355
,販売費及び一般管理費,35070223,43479555,45665196,42196980,41347757,42071624,63946845,45668983,45084606,43034010,54534662,47424216,47331115,47760018,55745745,48531191,48240169,48540915,49434354,48186388,50943945,97614947,48371895,49663737,44268861,46003250,50012220,45307737,45459732,44076365,49776084,48488496,52369169,48095753,49764906,53899303,50224906,53191166,53881271,52587805,50108855
,営業利益,8587949,325118,-2094378,1996763,3356146,690902,-20796235,-2975716,-2674200,218186,-11552381,-1343251,-1624862,-1337331,-9072100,-771178,-513795,-806519,-1813259,-412516,-2979334,-49056800,-447531,19369630,-2634662,-3528032,-6884736,-2076719,-1271452,-919863,-5943461,-1081076,-7260732,-2633262,-3173164,19185447,-5526119,-8133669,-8160769,-7270059,-3206487
800,受取利息,24,10,10,10,1009,270,155,145,412641,140,1230,141,54,40,412540,40,1101,60,62,10,412550,50,1036,50,50,50,412550,596564,757,113,102,80,412580,80,757,80,90,80,412580,80,8334
801,受取配当金,0,0,200,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,500,0,0
802,受取保険金,57424491,280030,0,0,0,0,0,0,0,0,0,0,500000,365300,86487457,0,0,17074800,0,0,8422500,1339,0,0,0,0,0,0,0,0,0,0,0,1102384,0,0,0,0,0,0,0
810,投資有価証券売却益,0,0,815517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,雑収入,5158034,6658663,5867976,5153638,5332047,5148541,5105744,14246458,5401360,5237946,5002740,5213321,5709287,6144918,6237603,5539114,5579807,5556716,6756923,6028043,6232497,6548706,6064631,6278420,5366083,5738282,5583034,5375092,5298611,5398926,5591914,6065695,6233969,5255101,5936998,5546795,6158820,5953468,5384440,5592327,5577735
,営業外収益,62582549,6938703,6683703,5153648,5333056,5148811,5105899,14246603,5814001,5238086,5003970,5213462,6209341,6510258,93137800,5539154,5580908,22631576,6756985,6028053,15067547,6550095,6065667,6278470,5366133,5738332,5995784,5971656,5299368,5399039,5592016,6065775,6646549,6357565,5937755,5546875,6158910,5953548,5797520,5592407,5586069
830,支払利息,89153,90374,94570,92288,91103,86246,86320,82882,82638,81481,72101,76778,72847,73694,69406,69203,68128,80345,59124,55921,55791,54283,47990,50488,47842,47462,44609,44131,11817,4363,4159,4233,5621,0,0,0,0,0,0,0,0
840,雑損失,345004,355501,348831,322502,270264,288725,267941,261995,263930,267815,267635,204300,674703,669520,703476,660879,652892,672779,674152,671117,664890,633813,645911,664169,218860,224395,244914,221061,222193,223944,224441,202188,200249,198013,205952,211268,203365,221890,221557,217586,207973
,営業外費用,434157,445875,443401,414790,361367,374971,354261,344877,346568,349296,339736,281078,747550,743214,772882,730082,721020,753124,733276,727038,720681,688096,693901,714657,266702,271857,289523,265192,234010,228307,228600,206421,205870,198013,205952,211268,203365,221890,221557,217586,207973
,経常利益,70736341,6817946,4145924,6735621,8327835,5464742,-16044597,10926010,2793233,5106976,-6888147,3589133,3836929,4429713,82861292,4037894,4346093,21071933,4210450,4888499,11367532,-43194801,4924235,24933443,2464769,1938443,-1178475,3629745,3793906,4250869,-580045,4778278,-820053,3526290,2558639,24521054,429426,-2402011,-2584806,-1895238,2171609
900,固定資産売却益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972508,0,0,1683793,0
,特別利益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972508,0,0,1683793,0
921,固定資産除却損,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,特別損失,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,税引前当期純利益,70736341,6817946,4145924,6735621,8327835,5464742,-16044597,10926009,2793233,5106976,-6888147,3589133,3836929,4429713,82861292,4037894,4346093,21071933,4210450,4888499,11367532,-43194801,4924235,24933443,2464769,1938443,-1178475,3629745,3793906,4250869,-580045,4778278,-820053,3526290,2558639,24521054,1401934,-2402011,-2584806,-211445,2171609
930,法人税住民税事業税額,3,1,41,1,151,39,22,20,63195,20,185,21,7,5,63219,5,164,0,7,1,63180,6,153,6,6,6,63220,6,111,17,13,10,63184,10,111,10,11,10,63286,10,1271
,当期純利益,70736338,6817945,4145883,6735620,8327684,5464703,-16044619,10925989,2730038,5106956,-6888332,3589112,3836922,4429708,82798073,4037889,4345929,21071926,4210443,4888498,11304352,-43194807,4924082,24933437,2464763,1938437,-1241695,3629739,3793795,4250852,-580058,4778268,883237,3526280,2558528,24521044,1401923,-2402021,-2648092,-211455,2170338

