ｺｰﾄﾞ,勘定科目名, 3年 11月, 3年 12月, 4年  1月, 4年  2月, 4年  3月, 4年  4月, 4年  5月, 4年  6月, 4年  7月, 4年  8月, 4年  9月
6227,管理諸費,"437,113","325,619","367,063","320,756","351,349","317,958","475,225","364,977","568,308","395,727","334,593"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,0,0,0,0,0,0,0,0,"12,000",0,0
6313,,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,0,0
,販売費及び一般管理費計,"10,222,483","11,586,841","11,576,708","9,852,566","10,626,512","10,124,264","11,544,237","10,759,515","11,441,797","11,252,059","11,614,844"
,営業利益（損失）,"851,117","3,565,213","-597,293","-4,131,893","-1,117,561","-1,457,202","-2,430,587","-3,025,128","-1,965,749","-2,224,448","-3,645,480"
7111,受取利息,0,0,0,0,0,0,0,0,0,0,0
7112,為替差益,0,0,0,0,0,0,0,0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,"3,247","5,054","3,554","4,887","3,707","2,596","1,874","85,832","3,623","5,444","5,374"
,営業外収益計,"3,247","5,054","3,554","4,887","3,707","2,596","1,874","85,832","3,623","5,444","5,374"
7511,支払利息,0,0,0,0,"108,060","-108,060",0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0
7512,為替差損,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,-16,1,0,0,0,0,0,0,0,0,0
7514,ＬＬＰ損失,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,0,0,0
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,-16,1,0,0,"108,060","-108,060",0,0,0,0,0
,経常利益（損失）,"854,380","3,570,266","-593,739","-4,127,006","-1,221,914","-1,346,546","-2,428,713","-2,939,296","-1,962,126","-2,219,004","-3,640,106"
