"ｺｰﾄﾞ","勘定科目名"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"
"6226","厚生費","0","0","19,188","15,187","11,188","11,733","95,733","22,731","11,188","9,338","42,258","11,197"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","79,259","79,259","79,259","79,259","79,259","79,259","79,259","79,259","79,259","79,259"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","502,938","502,936","502,938","502,936","502,937","502,937","502,938","502,937","502,937","502,937"
"6216","修繕／車両関係費","0","0","60,300","27,500","108,000","1,069,900","50,000","134,200","164,000","22,000","44,000","108,200"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","14,320","2,203","14,468","14,313","14,465","14,924","11,845","12,023","16,486","14,114"
"6219","水道光熱費","0","0","332,765","375,373","311,554","384,239","439,983","444,288","353,935","434,478","447,850","438,072"
"6221","租税公課","0","0","2,000","0","5,000","2,000","2,000","4,000","2,000","0","2,000","2,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","50,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","0","0","139,399","414,871","310,567","143,412","168,100","93,447","201,660","141,653","146,153","222,925"
"6227","管理諸費","0","0","69,730","65,810","68,860","57,580","55,880","167,220","70,548","69,516","71,273","163,719"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","4,500","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","3,021","550","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","3,986,084","4,745,966","4,930,369","5,947,507","4,622,965","4,964,539","4,556,017","4,501,091","4,099,545","4,405,341"
,"営業利益（損失）","0","0","-85,829","-633,928","1,881,328","-915,711","-1,167,555","717,796","-1,272,307","-956,550","88,666","-726,784"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","2","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","2","0","0","0","0","0","0"
,"経常利益（損失）","0","0","-85,829","-633,928","1,881,328","-915,713","-1,167,555","717,796","-1,272,307","-956,550","88,666","-726,784"
