ｺｰﾄﾞ,勘定科目名,29年 11月,29年 12月,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 10月累計
6119,,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,0,0,0,0,0,0,"2,192,354","225,000","225,000","225,000","225,000","225,000","1,125,000"
6234,リース料,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"27,778","34,444",0,0,"101,111","30,000","30,000","30,000",0,0,0,"200,000","230,000"
6216,修繕費,0,0,0,0,0,0,0,0,0,0,0,0,0
6217,事務用消耗品費,"59,643","42,810","3,709",0,"7,631","6,635","6,366","6,366","-6,366",0,0,"21,077","21,077"
6218,通信交通費,"49,802",0,"14,414","23,347","4,870","11,846","30,775","18,796","1,752","21,373","70,061","70,180","182,162"
6219,水道光熱費,"14,122","19,299","20,227","26,246","21,127","21,665","16,581","20,529","19,094","7,064","23,662","53,155","123,504"
6221,租税公課,0,0,"474,000",0,0,"40,100","1,200",0,"140,000","40,800",0,0,"180,800"
6222,寄付金,0,0,0,0,0,0,0,0,0,0,0,0,0
6223,接待交際費,0,0,0,"7,128","13,194","9,636",0,0,"13,754","1,000",0,"23,056","37,810"
6224,保険料,"4,897","4,897","4,897","4,897","4,897","4,897","4,897","4,897","4,897","4,897","4,897","4,897","24,485"
6225,備品消耗品費,"6,169","13,919","10,936","11,223","17,249","8,763","3,538,031","2,000","73,461","67,601","368,178","562,726","1,073,966"
6227,管理諸費,"929,629","205,185","425,185","208,641","205,185","20,000","438,148","205,185","287,777","483,333","218,758","236,546","1,431,599"
6228,諸会費,0,0,0,"20,000","9,000","24,000","15,600",0,0,"2,000",0,"7,000","9,000"
6229,,0,0,0,0,0,0,0,0,0,0,0,0,0
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,0,0,0,0
,販売費及び一般管理費計,"2,771,706","1,948,712","2,639,684","2,033,043","2,563,851","2,021,959","8,515,461","2,668,359","2,563,257","2,603,887","2,627,711","4,262,394","14,725,608"
,営業利益（損失）,"-2,493,425","-1,690,842","-2,257,962","-1,668,593","-2,160,240","-1,574,340","-8,328,406","-2,567,656","-2,555,757","-1,421,257","28,453,470","-4,780,323","17,128,477"
7111,受取利息,0,0,0,14,61,0,20,0,0,48,86,0,134
7112,受取手数料,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,0,0,"3,685",0,0,0,229,"2,300","2,886","1,307","1,221","24,555","32,269"
,営業外収益計,0,0,"3,685",14,61,0,249,"2,300","2,886","1,355","1,307","24,555","32,403"
7511,支払利息,0,0,0,0,0,0,"207,397",0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,0
7512,,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,,0,0,0,0,0,0,0,0,0,0,0,0,0
7514,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,0,0,0,0,0
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,0,0,0,0,"207,397",0,0,0,0,0,0
,経常利益（損失）,"-2,493,425","-1,690,842","-2,254,277","-1,668,579","-2,160,179","-1,574,340","-8,535,554","-2,565,356","-2,552,871","-1,419,902","28,454,777","-4,755,768","17,160,880"
