"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"6225","備品消耗品費","0","894,593","510,207","876,287","594,765","551,114","453,094","595,211","563,985","1,013,060","469,050","572,266"
"6227","管理諸費","0","288,641","312,361","248,208","269,301","282,294","257,994","244,510","217,584","333,243","335,557","267,653"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","7,000","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","12,595","0","0","10,000","5,000","5,000","5,000","5,000","10,000","5,000"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","8,911,472","8,597,599","10,020,782","9,019,182","9,100,782","8,833,194","9,497,418","8,714,166","9,423,756","8,036,194","8,000,061"
,"営業利益（損失）","0","382,946","907,670","6,259,237","1,941,690","-228,758","1,574,837","-702,098","-203,406","-423,325","298,094","-42,421"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","846"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","12,875","13,197","12,915","16,641","12,595","9,454","9,263","12,233","14,307","10,222","11,165"
,"営業外収益計","0","12,875","13,197","12,915","16,641","12,595","9,454","9,263","12,233","14,307","10,222","12,011"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","-195","-705","0","0","0","0","0","0","0","-3","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","-195","-705","0","0","0","0","0","0","0","-3","0"
,"経常利益（損失）","0","396,016","921,572","6,272,152","1,958,331","-216,163","1,584,291","-692,835","-191,173","-409,018","308,319","-30,410"
