ｺｰﾄﾞ,勘定科目名,29年 12月,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 11月累計
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,"5,433","22,250","-150,996","6,146","18,230","6,386","5,500","9,993",-10,"4,940","11,393","4,190","66,768"
,販売費及び一般管理費計,"3,542,138","3,517,555","2,480,813","5,034,917","3,524,222","4,268,964","3,228,102","3,731,440","3,625,196","3,631,941","3,820,815","3,934,757","34,800,354"
,営業利益（損失）,"23,229","611,461","616,324","-1,094,921","905,774","280,063","1,117,672","32,353","-4,883","710,159","617,864","332,721","2,896,802"
7111,受取利息,0,0,17,72,0,0,0,0,0,73,0,0,145
7112,受入家賃,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,0,0,"518,009",10,0,0,0,0,"17,045",0,0,"415,800","432,855"
,営業外収益計,0,0,"518,026",82,0,0,0,0,"17,045",73,0,"415,800","433,000"
7511,支払利息割引料,0,0,0,0,0,0,0,0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,0
7512,,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,,0,0,0,0,0,0,0,0,0,0,0,0,0
7514,,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,0,0,0,0,0
7519,雑損失,0,0,"9,310",0,0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,"9,310",0,0,0,0,0,0,0,0,0,0
,経常利益（損失）,"23,229","611,461","1,125,040","-1,094,839","905,774","280,063","1,117,672","32,353","12,162","710,232","617,864","748,521","3,329,802"
