"ｺｰﾄﾞ","勘定科目名"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"
"6117","支払手数料","0","0","0","0","1,349,245","1,212,133","1,912,524","1,927,597","1,289,935","1,773,692","1,293,605","1,527,320"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","49,000","49,000","-7,360","49,000","49,000","49,000","49,000","49,000"
"6312","法定福利費","0","0","0","0","318,756","350,577","316,663","274,484","299,729","299,729","246,267","199,820"
"6226","厚生費","0","0","0","0","145,230","13,182","84,002","0","84,418","11,955","52,158","45,658"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","447,834","447,834","447,834","447,834","447,834","447,834","447,834","447,834"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","1,163,323","1,163,175","1,358,695","1,468,707","1,097,920","1,451,628","1,083,455","1,220,610"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","103,500","0"
"6217","事務用消耗品費","0","0","0","0","355","0","0","547","0","0","2,100","100"
"6218","通信交通費","0","0","0","0","15,351","8,139","909","16,080","8,114","909","16,108","7,693"
"6219","水道光熱費","0","0","0","0","417,051","420,759","407,415","437,787","402,834","392,689","414,007","407,489"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","50,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","0","0","0","0","47,173","40,866","37,913","9,016","55,209","26,370","27,804","20,863"
"6227","管理諸費","0","0","0","0","2,800","4,200","2,800","2,800","2,800","2,800","2,856","4,200"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","6,528,344","6,429,101","7,555,883","7,606,976","6,423,140","7,353,596","6,115,510","6,212,993"
,"営業利益（損失）","0","0","0","0","225,545","3,166","-102,724","825,234","-285,595","794,043","184,558","805,738"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","225,545","3,166","-102,724","825,234","-285,595","794,043","184,558","805,738"
