"ｺｰﾄﾞ","勘定科目名"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","587,818","588,018","588,018","588,018","588,018","588,018"
"6216","修繕／車両関係費","0","0","0","0","0","0","11,000","5,500","49,500","84,500","5,909","16,500"
"6217","事務用消耗品費","0","0","0","0","0","0","0","1,087","0","0","950","30,087"
"6218","通信交通費","0","0","0","0","0","0","2,203","2,203","2,279","2,203","2,203","2,203"
"6219","水道光熱費","0","0","0","0","0","0","794,054","323,608","325,849","349,612","355,330","330,574"
"6221","租税公課","0","0","0","0","0","0","2,700","3,600","5,950","1,980","2,970","3,600"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","50,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","0","0","0","0","0","0","136,492","127,867","166,258","174,837","100,519","146,948"
"6227","管理諸費","0","0","0","0","0","0","97,355","95,955","95,955","95,955","97,355","128,735"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","5,170,489","4,758,023","6,639,868","4,870,262","4,417,322","4,828,870"
,"営業利益（損失）","0","0","0","0","0","0","920,986","1,731,819","1,691,827","1,215,674","791,663","1,737,227"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","920,986","1,731,819","1,691,827","1,215,674","791,663","1,737,227"
