ｺｰﾄﾞ,勘定科目名,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 12月,30年 12月累計
,営業利益（損失）,"-25,867,523","-41,324,498","-22,627,870","-25,713,659","-31,920,451","74,629,393","-22,889,512","-12,262,818","-51,649,726","-24,080,438","-24,905,236","-19,216,389","-68,202,063"
7111,受取利息,0,"120,599",190,0,"409,500",0,0,"405,833","630,990",0,"405,000",0,"405,000"
7112,為替差益,0,0,0,0,0,0,0,0,"1,797,981",0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,"1,389","1,238",0,0,0,"7,000,000","1,238","7,001,238"
7118,雑収入,"252,396","209,245","6,016,052","6,961","184,643","188,961","3,614,049","478,396","9,135,985","2,708,775","391,958","253,952","3,354,685"
,営業外収益計,"252,396","329,844","6,016,242","6,961","594,143","190,350","3,615,287","884,229","11,564,956","2,708,775","7,796,958","255,190","10,760,923"
7511,支払利息,"258,981","186,407","180,036","198,289","371,077","307,554","266,991","414,640","77,998","237,371","113,339","574,266","924,976"
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,0
7512,為替差損,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,0,0,0,0,0,0,0,0,"-53,599",0,"-21,744",0,"-21,744"
7514,ＬＬＰ損失,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,"300,000",0,0,0,0
7519,雑損失,0,0,0,0,"800,000",0,0,0,0,"300,000",0,0,"300,000"
,営業外費用計,"258,981","186,407","180,036","198,289","1,171,077","307,554","266,991","414,640","324,399","537,371","91,595","574,266","1,203,232"
,経常利益（損失）,"-25,874,108","-41,181,061","-16,791,664","-25,904,987","-32,497,385","74,512,189","-19,541,216","-11,793,229","-40,409,169","-21,909,034","-17,199,873","-19,535,465","-58,644,372"
