ｺｰﾄﾞ,勘定科目名,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 12月,30年 12月累計
,営業利益（損失）,"6,403,835","854,957","5,937,367","4,055,406","3,801,468","4,283,740","3,420,041","5,659,274","3,594,624","2,895,507","3,504,996","8,761,586","15,162,089"
7111,受取利息,0,0,0,0,0,0,0,0,0,0,0,0,0
7112,為替差益,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外収益計,0,0,0,0,0,0,0,0,0,0,0,0,0
7511,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,0
7512,為替差損,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,0,0,0,0,0,-38,0,0,0,0,-3,0,-3
7514,ＬＬＰ損失,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,0,0,0,0,0
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,0,0,0,-38,0,0,0,0,-3,0,-3
,経常利益（損失）,"6,403,835","854,957","5,937,367","4,055,406","3,801,468","4,283,778","3,420,041","5,659,274","3,594,624","2,895,507","3,504,999","8,761,586","15,162,092"
