コード,科目名,3年 4月,3年 5月,3年 6月,3年 7月,3年 8月,3年 9月,3年 10月,3年 11月,3年 12月,4年 1月,4年 2月,4年 3月,4年 4月,4年 5月,4年 6月,4年 7月,4年 8月,4年 9月,4年 10月,4年 11月,4年 12月,5年 1月,5年 2月,5年 3月
770,賃借料,711341,1236341,995641,765641,582841,590141,696841,1151241,558241,827941,604241,824008,757505,1072905,918905,697305,0,0,0,0,0,0,0,0
771,修繕費,235200,17000,0,0,0,0,0,0,0,0,0,334818,0,0,0,0,0,0,0,0,0,0,0,0
772,清掃整備費,499414,607116,466476,529160,491856,539207,475726,815243,853260,1288292,1347417,724658,556831,546512,547025,550556,0,0,0,0,0,0,0,0
773,租税公課,206100,407250,0,-14000,498000,298650,0,1450,498000,600,217400,2750,205200,440000,114900,0,0,0,0,0,0,0,0,0
774,外注費,2641273,2748717,2701817,2681222,2640275,2768018,2677740,2669387,2637450,2654641,2654796,2518182,6788940,6736700,7087760,6703210,0,0,0,0,0,0,0,0
775,広告宣伝費,0,0,0,0,0,0,14829,0,0,13129,0,0,0,0,0,12814,0,0,0,0,0,0,0,0
776,接待交際費,18500,12103,3944,18441,103252,30685,0,2696,10000,116052,11827,11627,29000,3435,35455,0,0,0,0,0,0,0,0,0
777,諸会費,10450,59450,11450,13450,10450,10450,11700,10450,10450,70450,28450,10450,10450,69450,10450,13177,0,0,0,0,0,0,0,0
778,支払手数料,2823534,2594850,3124249,2684907,2620452,2672186,3395856,2587932,2544987,2712497,2810133,5226333,2847952,2540502,3267278,2768823,0,0,0,0,0,0,0,0
779,雑  費,1218,1664,853,1617,2473,1881,3709,1944,1618,36300,2804,2856,1635,2411,626,1599,0,0,0,0,0,0,0,0
,販売費及び一般管理費,38327357,47106372,49240745,45538128,45171698,45690841,67272450,49066043,49045487,46435663,58071414,50761028,50763763,51088197,167237716,50111050,0,0,0,0,0,0,0,0
,営業利益,8648815,633935,-2351927,1973615,2850205,389685,-20803840,-3054776,-3317081,134533,-11771133,-1362063,-1249510,-857510,-117135947,1403963,0,0,0,0,0,0,0,0
800,受取利息,1322,1161,1026,746,1841,848,648,572,412959,140,1338,141,54,40,412540,40,0,0,0,0,0,0,0,0
801,受取配当金,0,0,20000400,0,0,0,0,0,0,0,0,0,0,0,100000400,0,0,0,0,0,0,0,0,0
802,受取保険金,63401668,280030,0,0,0,0,0,0,0,0,0,0,500000,365300,102720399,0,0,0,0,0,0,0,0,0
810,投資有価証券売却益,0,0,815517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,雑収入,6293335,7578124,47075630,6083487,6418568,6046691,5991546,15122288,7105506,6101248,5875762,6088391,6614522,7042377,7510805,6446976,0,0,0,0,0,0,0,0
,営業外収益,69696325,7859315,67892573,6084233,6420409,6047539,5992194,15122860,7518465,6101388,5877100,6088532,7114576,7407717,210644144,6447016,0,0,0,0,0,0,0,0
830,支払利息,150656,152232,163529,146518,166233,148317,136570,153704,132485,147016,124388,131816,117151,134417,114474,112254,0,0,0,0,0,0,0,0
840,雑損失,1266071,844199,1545159,811200,758962,777423,756639,750693,1576263,756513,756333,692383,1162997,1157814,1886960,1148962,0,0,0,0,0,0,0,0
,営業外費用,1416727,996431,1708688,957718,925195,925740,893209,904397,1708748,903529,880721,824199,1280148,1292231,2001434,1261216,0,0,0,0,0,0,0,0
,経常利益,76928413,6879185,63831958,7100130,8345419,5511484,-15704855,11163687,2492636,5332392,-6774754,3902270,4584918,5257976,91506763,6589763,0,0,0,0,0,0,0,0
,特別利益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
921,固定資産除却損,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,特別損失,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,税引前当期純利益,76928413,6879185,63831958,7100130,8345419,5511484,-15704855,11163686,2492636,5332392,-6774754,3902270,4584918,5257976,91506763,6589763,0,0,0,0,0,0,0,0
930,法人税住民税事業税額,3,1,4084081,1,178,39,22,20,63195,20,200,21,7,0,20483259,5,0,0,0,0,0,0,0,0
,当期純利益,76928410,6879184,59747877,7100129,8345241,5511445,-15704877,11163666,2429441,5332372,-6774954,3902249,4584911,5257971,71023504,6589758,0,0,0,0,0,0,0,0
