"ｺｰﾄﾞ","勘定科目名"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"
"6226","厚生費","0","0","0","0","0","0","4,094,737","2,461,154","1,348,271","2,530,342","5,130,149","3,216,747"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","6,008,318","6,008,318","6,033,218","6,008,318","6,008,318","6,008,318"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","24,384,105","23,168,442","24,220,347","23,167,244","23,767,798","22,814,065"
"6216","修繕／車両関係費","0","0","0","0","0","0","3,141,065","1,771,375","2,883,541","8,226,206","4,901,679","3,582,377"
"6217","事務用消耗品費","0","0","0","0","0","0","11,987","4,648","30,260","20,409","41,531","36,569"
"6218","通信交通費","0","0","0","0","0","0","650,644","482,519","301,409","594,510","499,724","347,935"
"6219","水道光熱費","0","0","0","0","0","0","13,950,530","11,608,129","10,759,413","12,598,581","12,928,109","10,971,992"
"6221","租税公課","0","0","0","0","0","0","34,850","26,500","68,350","31,980","31,570","70,050"
"6222","寄付金","0","0","0","0","0","0","10,000","0","20,000","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","677,915","812,073","727,877","844,934","947,951","1,048,090"
"6224","保険料","0","0","0","0","0","0","48,000","378,840","206,960","226,420","198,920","189,420"
"6225","備品消耗品費","0","0","0","0","0","0","7,920,055","9,047,337","11,017,959","5,735,863","6,152,963","10,410,189"
"6227","管理諸費","0","0","0","0","0","0","3,643,033","3,808,204","3,565,408","4,172,628","7,418,236","3,880,843"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","171,800","98,200","62,300","107,800","72,591","52,300"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","3,000","12,595","25,463","29,674","27,256","28,907"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","178,623,537","173,591,023","195,768,346","192,055,041","186,104,592","190,093,421"
,"営業利益（損失）","0","0","0","0","0","0","-9,256,121","-2,233,385","52,526,933","1,212,891","-21,517,610","24,948,352"
"7111","受取利息","0","0","0","0","0","0","12","3","0","21","1,112","395"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","702,281","334,177","1,027,043","797,582","529,002","2,135,634"
,"営業外収益計","0","0","0","0","0","0","702,293","334,180","1,027,043","797,603","530,114","2,136,029"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","5,799","-49,551","0","-7,444","69,997","-8,930"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","5,799","-49,551","0","-7,444","69,997","-8,930"
,"経常利益（損失）","0","0","0","0","0","0","-8,559,627","-1,849,654","53,553,976","2,017,938","-21,057,493","27,093,311"
