"ｺｰﾄﾞ","勘定科目名"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"
"6117","支払手数料","0","0","0","538,239","883,336","554,636","1,439,171","895,039","899,229","553,365","629,345","601,683"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","50,250","50,250","323,780","50,250","50,250","50,250","50,250","50,250","184,140"
"6312","法定福利費","0","0","0","160,048","160,048","234,723","160,048","160,048","160,048","159,544","159,544","213,391"
"6226","厚生費","0","0","0","24,541","123,724","23,957","22,089","46,676","23,676","20,424","35,290","25,783"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","224,877","224,877","224,877","224,877","224,877","224,877","224,877","224,877","224,877"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","573,558","580,277","681,326","625,525","530,883","606,670","560,433","592,437","585,790"
"6216","修繕／車両関係費","0","0","0","45,000","39,475","0","244,724","120,000","199,000","96,400","0","0"
"6217","事務用消耗品費","0","0","0","1,530","200","0","1,730","200","0","0","0","0"
"6218","通信交通費","0","0","0","13,702","4,537","575","17,523","4,545","2,980","9,264","4,482","0"
"6219","水道光熱費","0","0","0","300,469","321,236","306,781","319,027","309,625","277,101","308,418","339,382","341,375"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","50,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","0","0","0","464,617","47,796","81,945","31,873","32,789","33,643","452,489","419,642","27,278"
"6227","管理諸費","0","0","0","7,991","7,200","7,900","4,800","57,727","8,246","48,634","7,200","4,800"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","4,528,720","4,549,475","4,771,042","5,489,493","4,558,792","4,819,368","4,590,443","4,647,730","4,459,987"
,"営業利益（損失）","0","0","0","480,108","312,016","2,483,605","-1,674,181","105,165","517,559","358,883","601,957","1,164,876"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","480,108","312,016","2,483,605","-1,674,181","105,165","517,559","358,883","601,957","1,164,876"
