ｺｰﾄﾞ,勘定科目名,29年 11月,29年 12月,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 10月累計
6218,通信交通費,"8,773","13,920","15,987","25,857","16,619","13,341","13,146","22,528","13,255","12,911","42,201","19,123","153,124"
6219,水道光熱費,"274,615","229,296","521,898","72,917","291,579","195,529","423,178","172,904","228,232","186,699","90,758","332,185","1,921,064"
6221,租税公課,0,"151,000",0,"151,000",0,0,"137,600",0,"137,000",0,0,0,"274,600"
6222,会議費,0,0,0,0,0,0,0,0,0,0,0,0,0
6223,接待交際費,0,"5,728",0,0,0,"1,180",0,0,0,"1,111",0,0,"2,291"
6224,保険料,0,0,0,0,0,0,0,0,0,"28,716",0,"288,594","317,310"
6225,備品消耗品費,"13,071","35,941","-205,315","38,183","20,792","19,640","15,292","20,649","16,066","26,840","13,386","55,448","188,113"
6227,管理諸費,"41,800","41,800","200,720","41,800","41,800","354,300","90,800","46,800","46,800","46,800","90,800","77,016","795,116"
6228,寄附金,"3,000",0,0,0,0,0,0,"5,000","10,000","-5,000","20,000",0,"30,000"
6229,その他の一般管理費,"16,500",0,"33,000","16,500",0,"16,500","33,000",0,"33,000","16,500",0,"33,000","132,000"
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,"3,393","5,433","22,250","-150,996","6,146","18,230","6,386","5,500","9,993",-10,"4,940","11,393","62,578"
,販売費及び一般管理費計,"2,186,059","3,542,138","3,517,555","2,480,813","5,034,917","3,524,222","4,268,964","3,228,102","3,731,440","3,625,196","3,631,941","3,820,815","30,865,597"
,営業利益（損失）,"1,954,048","23,229","611,461","616,324","-1,094,921","905,774","280,063","1,117,672","32,353","-4,883","710,159","617,864","2,564,081"
7111,受取利息,0,0,0,17,72,0,0,0,0,0,73,0,145
7112,受入家賃,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,0,0,0,"518,009",10,0,0,0,0,"17,045",0,0,"17,055"
,営業外収益計,0,0,0,"518,026",82,0,0,0,0,"17,045",73,0,"17,200"
7511,支払利息割引料,0,0,0,0,0,0,0,0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,0
7512,,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,,0,0,0,0,0,0,0,0,0,0,0,0,0
7514,,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,0,0,0,0,0
7519,雑損失,0,0,0,"9,310",0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,0,"9,310",0,0,0,0,0,0,0,0,0
,経常利益（損失）,"1,954,048","23,229","611,461","1,125,040","-1,094,839","905,774","280,063","1,117,672","32,353","12,162","710,232","617,864","2,581,281"
8111,その他の利益,0,0,0,0,0,0,0,0,0,0,0,0,0
8112,諸引当金戻入,0,0,0,"1,527",0,0,0,0,0,0,0,0,0
8113,,0,0,0,0,0,0,0,0,0,0,0,0,0
8115,,0,0,0,0,0,0,0,0,0,0,0,0,0
8116,,0,0,0,0,0,0,0,0,0,0,0,0,0
8114,前期損益修正益,0,0,0,0,0,0,0,0,0,0,0,0,0
,特別利益計,0,0,0,"1,527",0,0,0,0,0,0,0,0,0
8211,,0,0,0,0,0,0,0,0,0,0,0,0,0
8212,その他の損失,0,0,0,0,0,0,0,0,0,0,0,0,0
8213,,0,0,0,0,0,0,0,0,0,0,0,0,0
8215,固定資産除却損,0,0,0,0,0,0,0,0,0,0,0,0,0
8216,,0,0,0,0,0,0,0,0,0,0,0,0,0
8217,,0,0,0,0,0,0,0,0,0,0,0,0,0
8214,,0,0,0,0,0,0,0,0,0,0,0,0,0
,特別損失計,0,0,0,0,0,0,0,0,0,0,0,0,0
,税引前当期純利益（損失）,"1,954,048","23,229","611,461","1,126,567","-1,094,839","905,774","280,063","1,117,672","32,353","12,162","710,232","617,864","2,581,281"
8311,法人税、住民税及び事業税,0,0,0,"182,500",0,0,0,0,0,0,0,0,0
8321,過年度法人税等,0,0,0,0,0,0,0,0,0,0,0,0,0
8312,法人税等調整額,0,0,0,0,0,0,0,0,0,0,0,0,0
9111,当期純利益（損失）,"1,954,048","23,229","611,461","944,067","-1,094,839","905,774","280,063","1,117,672","32,353","12,162","710,232","617,864","2,581,281"
9211,繰越利益剰余金期首残高,0,0,0,0,"4,885,760",0,0,0,0,0,0,0,"4,885,760"
9212,過年度税効果調整額,0,0,0,0,0,0,0,0,0,0,0,0,0
9213,,0,0,0,0,0,0,0,0,0,0,0,0,0
9311,積立金取崩額,0,0,0,0,0,0,0,0,0,0,0,0,0
9321,利益準備金取崩額,0,0,0,0,0,0,0,0,0,0,0,0,0
9322,自己株式処分差損・消却額,0,0,0,0,0,0,0,0,0,0,0,0,0
9411,利益剰余金配当額,0,0,0,0,0,0,0,0,0,0,0,0,0
9511,利益準備金積立額,0,0,0,0,0,0,0,0,0,0,0,0,0
9521,積立金積立額,0,0,0,0,0,0,0,0,0,0,0,0,0
9611,繰越利益剰余金期末残高,"1,954,048","23,229","611,461","944,067","3,790,921","905,774","280,063","1,117,672","32,353","12,162","710,232","617,864","7,467,041"
