"ｺｰﾄﾞ","勘定科目名"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"
"6113","広告宣伝費","0","0","0","0","30,000","0","0","15,909","15,000","15,000","15,000","15,000"
"6114","販売促進費","0","0","0","0","0","2,160","4,162","8,656","0","0","1,671","0"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","4,800","0","0","0","0","9,750","6,600"
"6117","支払手数料","0","0","0","0","378,856","631,515","708,795","1,369,718","683,790","777,069","417,216","502,622"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","53,833","53,833","55,606","53,833","53,833","53,833","53,833","53,833"
"6312","法定福利費","0","0","0","0","127,310","127,310","164,647","127,310","158,165","158,165","181,956","181,956"
"6226","厚生費","0","0","0","0","55,034","32,910","50,678","55,135","124,784","54,022","40,744","31,091"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","376,690","376,690","376,690","376,690","376,690","376,690","376,690","376,690"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","598,357","10,318","707,902","645,136","598,356","719,900","665,151","700,448"
"6216","修繕／車両関係費","0","0","0","0","0","35,487","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","964","1,128","955","972","995","971","963","955"
"6219","水道光熱費","0","0","0","0","316,361","305,323","290,417","93,393","287,691","310,291","349,011","372,362"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","50,000","25,000","35,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","0","0","0","0","442,058","15,871","79,181","32,490","7,915","65,297","449,840","407,810"
"6227","管理諸費","0","0","0","0","15,300","15,900","15,300","15,300","18,650","15,300","20,100","15,900"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","4,479,492","3,568,177","4,850,114","4,998,025","4,531,767","4,943,743","4,761,374","4,898,388"
,"営業利益（損失）","0","0","0","0","-89,593","774,594","1,614,385","-1,618,612","-296,922","340,953","203,402","274,377"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","-89,593","774,594","1,614,385","-1,618,612","-296,922","340,953","203,402","274,377"
