ｺｰﾄﾞ,勘定科目名, 3年  10月, 3年  11月, 3年  12月, 4年 1月, 4年 2月, 4年 3月, 4年 4月, 4年 5月, 4年 6月, 4年 7月, 4年 8月, 4年 9月,合計
,営業利益（損失）,"420,596","679,496","1,103,396","290,046","550,596","972,846","759,496","782,846","689,496","793,396","945,066","741,166","8,728,442"
7111,受取利息,,,,,,,,,,,,,
7112,為替差益,,,,,,,,,,,,,
7113,ＬＬＰ収入,,,,,,,,,,,,,
7114,受取配当金,,,,,,,,,,,,,
7118,雑収入,,,,,,,,,,,,,
,営業外収益計,,,,,,,,,,,,,
7511,支払利息,,,,,,,,,,,,,
7518,手形売却損,,,,,,,,,,,,,
7512,為替差損,,,,,,,,,,,,,
7513,現金過不足,,,,,,,,,,,,,
7514,ＬＬＰ損失,,,,,,,,,,,,,
7515,繰延資産償却,,,,,,,,,,,,,
7519,雑損失,,,,,,,,,,,,,
,営業外費用計,,,,,,,,,,,,,
,経常利益（損失）,"420,596","679,496","1,103,396","290,046","550,596","972,846","759,496","782,846","689,496","793,396","945,066","741,166","8,728,442"
,累計利益,,"1,100,092","2,203,488","2,493,534","3,044,130","4,016,976","4,776,472","5,559,318","6,248,814","7,042,210","7,987,276","8,728,442",
,四半期利益,,,"2,203,488",,,"1,813,488",,,"2,231,838",,,"2,479,628",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
